Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2012","2012","kg","8.16","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2013","2013","kg","8.42","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2003","2003","kg","3.71","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2004","2004","kg","3.87","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2005","2005","kg","4.21","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2006","2006","kg","4.87","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2007","2007","kg","5.73","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2008","2008","kg","6.44","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2009","2009","kg","6.78","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2010","2010","kg","6.74","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2011","2011","kg","7.92","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2012","2012","kg","8.41","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2013","2013","kg","8.89","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2003","2003","kg","6.93","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2004","2004","kg","5.9","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2005","2005","kg","6.69","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2006","2006","kg","8.06","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2007","2007","kg","8.37","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2008","2008","kg","10.03","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2009","2009","kg","9.32","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2010","2010","kg","13.17","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2011","2011","kg","15.3","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2012","2012","kg","16.78","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","7","Angola","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2013","2013","kg","17.33","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2003","2003","kg","7.9","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2004","2004","kg","7.77","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2005","2005","kg","9.73","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2006","2006","kg","9.92","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2007","2007","kg","11.04","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2008","2008","kg","11.19","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2009","2009","kg","11.37","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2010","2010","kg","10.77","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2011","2011","kg","12.67","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2012","2012","kg","10.59","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2013","2013","kg","12.42","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2003","2003","kg","7.76","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2004","2004","kg","7.48","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2005","2005","kg","11.21","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2006","2006","kg","9.33","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2007","2007","kg","9.36","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2008","2008","kg","11.01","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2009","2009","kg","8.3","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2010","2010","kg","9.01","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2011","2011","kg","11","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2012","2012","kg","11.4","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2013","2013","kg","11.44","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2003","2003","kg","49.15","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2004","2004","kg","50.2","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2005","2005","kg","51.98","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2006","2006","kg","53.04","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2007","2007","kg","54.53","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2008","2008","kg","55.25","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2009","2009","kg","55.82","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2010","2010","kg","57.05","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2011","2011","kg","57.64","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2012","2012","kg","56.46","Fc","Calculated data"
